age,income,loan_amount,credit_score,employment_years,debt_to_income_ratio,overdue_times,loan_term,has_house,has_car,default
24,215051.91,75958.3,567,1,0.298,1,24,1,0,1
51,275408.58,249405.65,614,30,0.771,2,48,1,0,0
47,121244.65,67635.79,683,19,0.229,1,24,1,0,0
38,81855.18,61079.38,607,9,0.669,1,60,0,1,1
38,98741.64,130223.36,636,8,0.95,4,24,0,0,0
55,134996.34,26959.05,698,23,0.147,0,24,0,1,0
24,53995.64,31893.01,630,0,0.33,1,12,0,0,0
48,84320.08,85764.14,679,18,0.811,1,48,1,0,1
29,208084.99,52158.09,795,0,0.181,0,24,1,1,0
24,68147.55,64407.22,645,0,0.531,3,24,0,1,0
42,77881.12,94191.87,760,11,0.433,1,24,1,0,0
60,109747.46,84061.59,708,39,0.54,2,24,1,1,0
50,123922.79,88871.42,535,22,0.499,2,60,0,1,0
51,82351.19,122003.41,566,19,0.656,3,36,0,1,1
49,112942.48,79119.55,589,21,0.626,2,24,1,0,0
52,143425.75,90896.86,587,20,0.282,2,24,1,1,0
41,263722.67,104232.12,652,20,0.206,1,12,0,1,0
26,103072.72,28641.88,712,0,0.159,3,36,0,0,1
54,107089.07,130054.94,767,24,0.923,0,12,1,0,0
39,216935.11,154930.67,686,11,0.285,1,12,1,1,0
41,85210.11,47297.34,622,10,0.428,4,12,0,1,1
35,60116.59,31736.93,483,9,0.316,2,24,1,1,1
28,122102.0,136041.12,666,0,0.512,0,48,1,1,0
58,177066.17,69237.23,662,32,0.163,1,12,1,0,0
52,128344.23,104887.36,676,21,0.488,3,48,0,1,0
46,104437.38,80775.39,839,24,0.478,0,48,1,1,0
37,56852.93,58692.6,765,13,0.446,1,60,0,1,1
53,106269.53,66142.41,727,31,0.398,1,24,0,0,0
42,190026.67,96291.67,578,13,0.33,2,48,1,0,0
38,62607.94,25066.14,616,15,0.376,2,60,0,1,0
39,97720.22,55125.27,652,15,0.439,2,60,1,1,0
30,91640.8,60808.71,594,0,0.237,2,48,0,0,1
24,79700.64,69434.34,703,0,0.554,2,24,0,1,0
43,121974.26,80343.04,690,21,0.239,0,60,1,1,0
56,133184.06,55706.92,567,35,0.275,1,48,0,1,0
23,132557.54,77994.54,762,0,0.325,0,24,1,1,0
55,70293.57,79713.32,669,24,0.95,5,24,0,0,1
54,52016.04,10000.0,513,27,0.124,3,60,1,1,1
32,122770.84,71869.59,656,0,0.503,2,24,1,0,1
46,86884.63,74507.45,684,23,0.601,3,48,1,0,1
27,249506.58,83002.57,743,2,0.196,2,36,1,1,0
51,254747.81,99685.87,631,29,0.191,0,48,0,1,0
49,267215.41,142341.07,730,24,0.245,1,12,1,0,0
35,71464.07,78506.74,676,8,0.908,1,48,0,0,0
23,140957.84,48567.99,548,0,0.303,0,36,0,0,0
59,161446.42,165507.72,540,34,0.558,2,60,1,0,1
38,153469.85,99746.34,755,8,0.42,4,24,0,1,0
56,93015.45,67695.52,762,28,0.38,2,12,0,0,0
48,194002.09,55463.24,687,24,0.178,2,24,0,1,0
52,109121.12,133942.42,787,21,0.95,4,12,1,1,0
51,115571.86,66710.21,750,25,0.25,1,60,0,1,0
28,54610.14,87280.65,718,6,0.839,1,24,1,1,0
35,145822.33,80590.52,583,3,0.424,2,24,1,1,1
39,97033.81,47347.18,807,8,0.262,0,48,0,1,0
40,134477.27,102202.68,706,19,0.303,1,24,1,1,0
22,121273.2,98775.27,627,0,0.468,2,24,1,1,0
42,118352.35,21263.83,603,10,0.136,1,48,0,0,0
27,106876.46,111950.05,682,0,0.95,2,36,0,0,0
50,155432.97,100126.01,518,26,0.57,0,60,0,0,0
48,99757.58,33916.1,719,20,0.234,1,48,1,1,0
57,56679.12,36386.01,579,30,0.524,0,24,0,1,0
50,140931.61,93754.66,692,22,0.461,1,36,0,0,0
35,75807.12,27147.98,616,7,0.231,0,60,0,1,0
59,60119.06,93202.69,638,31,0.701,4,36,0,0,0
37,68871.0,67606.19,596,10,0.516,3,48,0,0,1
34,123933.4,79956.88,646,5,0.401,1,36,1,0,0
57,104460.74,127351.64,821,30,0.95,2,36,0,1,0
35,50000.0,63542.59,778,14,0.909,5,48,1,0,0
24,91798.83,114769.57,690,3,0.95,4,12,0,0,1
39,184638.3,148562.61,658,7,0.406,1,36,1,0,1
52,89046.76,92426.36,732,21,0.406,0,12,0,0,0
28,101268.99,54594.53,756,0,0.505,2,48,0,1,0
39,174441.75,158981.04,589,16,0.499,2,36,0,0,0
26,156056.0,75694.96,653,0,0.326,1,24,1,0,0
48,172782.35,89110.82,505,26,0.203,3,12,1,1,0
40,50000.0,31822.47,755,15,0.551,2,60,1,1,0
34,238014.14,76471.32,836,10,0.113,0,24,0,1,0
30,145274.48,121970.81,667,9,0.75,1,24,0,1,0
43,330269.54,160609.64,479,13,0.218,1,12,1,1,1
47,76722.73,47191.35,712,20,0.283,1,36,1,0,0
58,50000.0,77497.04,583,34,0.95,0,24,1,1,1
38,109452.76,82858.53,604,11,0.44,2,60,0,0,1
27,96382.74,70269.18,713,6,0.367,1,48,0,1,0
54,146407.45,84193.34,682,28,0.407,1,12,0,0,0
46,176966.86,162131.68,619,19,0.461,2,36,1,1,1
49,104895.26,80903.55,605,24,0.403,1,24,0,0,1
24,97898.0,101277.5,671,0,0.39,2,12,0,1,0
33,138029.67,101817.1,625,10,0.497,1,36,0,1,1
51,97212.26,43420.54,566,29,0.191,3,24,0,1,1
54,93620.82,53026.46,632,27,0.483,2,60,0,1,0
38,173982.63,120633.25,689,7,0.555,1,36,1,1,0
53,192316.94,145461.03,645,28,0.394,1,24,1,0,0
54,177688.06,84889.99,540,33,0.32,3,60,0,1,1
36,101143.61,57739.15,744,4,0.398,1,36,1,0,0
56,50000.0,51351.05,427,30,0.77,1,24,0,0,1
32,102059.09,107902.41,622,9,0.636,5,36,1,0,1
30,77567.9,58522.31,607,2,0.559,2,60,1,0,1
48,102911.4,97993.78,673,24,0.43,2,36,0,1,0
46,80660.89,76029.57,708,14,0.596,1,36,1,1,0
26,108084.33,90370.91,756,2,0.34,3,36,0,1,1
54,68345.16,51070.88,599,27,0.683,8,24,0,1,1
28,61308.71,43268.03,710,1,0.417,0,24,1,0,0
53,189134.02,136293.4,677,30,0.519,1,36,1,1,0
21,70520.17,90946.05,515,0,0.83,3,60,0,1,1
52,109114.08,64025.78,822,30,0.215,1,48,0,1,0
52,167632.89,94101.86,538,24,0.218,2,12,1,1,0
52,164626.88,101287.86,696,22,0.313,2,36,1,0,0
47,156010.98,30789.63,693,15,0.149,0,12,0,1,0
39,125027.62,75736.84,683,15,0.445,0,24,1,1,0
49,151115.77,56537.05,618,25,0.173,0,48,0,1,0
32,202377.42,189734.23,730,5,0.603,1,24,0,1,0
52,132092.82,76564.66,527,23,0.331,4,60,0,0,1
43,50000.0,72775.44,654,11,0.95,1,36,0,0,0
39,86004.94,78642.52,612,18,0.504,2,48,1,0,1
41,149248.28,142743.18,602,18,0.849,2,60,0,1,1
43,82273.7,70871.57,696,19,0.546,1,48,0,0,1
22,226171.26,93340.63,752,0,0.25,2,60,0,1,0
